Month,Global,European
200810,0.2673,0.7535
200811,0.2641,1.0651
200812,0.1061,1.2024
200901,0.1922,0.0626
200902,0.1426,0.3621
200903,0.0591,0.2108
200904,0.1329,0.7985
200905,0.1812,0.7525
200906,0.2141,0.3551
200907,0.3552,0.3028
200908,0.2631,0.3909
200909,0.3358,1.0923
200910,0.3083,-0.1105
200911,0.3411,2.2411
200912,0.2181,0.0144
201001,0.3152,-2.8594
201002,0.3656,-0.7389
201003,0.4251,-0.2402
201004,0.4319,0.8735
201005,0.3712,0.4485
201006,0.2481,0.5641
201007,0.2202,2.1978
201008,0.2491,1.3859
201009,0.3368,0.1933
201010,0.3483,-1.0355
201011,0.3511,1.0931
201012,0.0681,-2.2386
201101,0.0722,0.0886
201102,0.0076,-1.6679
201103,0.1501,0.0188
201104,0.1989,1.7055
201105,0.1462,0.6125
201106,0.2091,0.9611
201107,0.3312,0.5828
201108,0.3151,0.4289
201109,0.2758,1.6193
201110,0.2693,0.2655
201111,0.1391,0.7991
201112,0.1441,2.7514
201201,0.0082,0.2826
201202,0.0126,-3.5279
201203,0.0461,1.0238
201204,0.2279,0.4935
201205,0.3372,1.0305
201206,0.2891,0.7651
201207,0.2162,0.8988
201208,0.2861,0.7989
201209,0.3088,0.8983
201210,0.4253,0.6585
201211,0.3921,1.9421
201212,0.1111,-1.2606
201301,0.2872,0.1606
201302,0.1826,1.1341
201303,0.1911,-2.4172
201304,0.1289,0.3295
201305,0.1802,1.2255
201306,0.2721,0.9901
201307,0.1292,0.5548
201308,0.2471,0.8069
201309,0.3948,0.0313
201310,0.2763,0.8265
201311,0.3611,1.8271
201312,0.3431,1.5134
201401,0.2632,0.7006
201402,0.0846,3.4511
201403,0.2521,2.6608
201404,0.2699,1.4785
201405,0.3492,0.4865
201406,0.2301,-0.0879
201407,0.2312,1.0858
201408,0.3391,0.4389
201409,0.3878,0.9333
201410,0.3703,0.5755
201411,0.2681,1.3731
201412,0.3671,1.3904
201501,0.3432,1.3456
201502,0.3676,1.7251
201503,0.3961,1.8058
201504,0.2149,0.4205
201505,0.3292,0.4695
201506,0.3701,0.2231
201507,0.3492,0.4768
201508,0.4441,1.3569
201509,0.4578,1.4553
201510,0.6413,-0.1545
201511,0.5981,2.3151
201512,0.6931,3.2104
201601,0.7222,-0.9284
201602,0.8636,3.8531
201603,0.7841,1.2648
201604,0.6899,1.3415
201605,0.5922,0.8245
201606,0.4441,1.0781
201607,0.5472,0.9858
201608,0.6161,0.7079
201609,0.5638,1.4273
201610,0.5703,-0.2745
